iso3
AGO
ALB
ARE
ARG
ARM
AUS
AUT
AZE
BEL
BFA
BGD
BGR
BHR
BIH
BLR
BOL
BRA
CAN
CHE
CHL
CHN
CIV
CMR
COD
COL
CRI
CYP
CZE
DEU
DNK
DOM
DZA
ECU
EGY
ESP
EST
ETH
FIN
FRA
GBR
GEO
GHA
GIN
GRC
GTM
GUY
HKG
HND
HRV
HTI
HUN
IDN
IND
IRL
IRN
IRQ
ISL
ISR
ITA
JOR
JPN
KAZ
KEN
KHM
KOR
KWT
LBN
LBY
LKA
LTU
LUX
LVA
MAC
MAR
MEX
MLI
MLT
MMR
MNG
MOZ
MYS
NGA
NLD
NOR
NPL
NZL
OMN
PAK
PAN
PER
PHL
PNG
POL
PRI
PRT
PRY
QAT
ROU
RUS
SAU
SDN
SEN
SGP
SLV
SRB
SVK
SVN
SWE
THA
TKM
TTO
TUN
TUR
TWN
TZA
UGA
UKR
URY
USA
UZB
VEN
VNM
ZAF
ZMB
ZWE
